Wall time,Step,Value
1730932799.0987613,2201,7.686753273010254
1730932800.6989968,2211,7.4823994636535645
1730932802.1321213,2221,8.355332374572754
1730932805.534574,2241,7.5292649269104
1730932806.8626783,2251,8.030410766601562
1730932813.2071617,2291,7.298031330108643
1730932823.3200195,2351,7.040955543518066
1730932827.0280986,2371,6.795582294464111
1730932828.171952,2381,7.043722152709961
1730932829.4256809,2391,6.44985818862915
1730932833.2026358,2411,6.559542655944824
1730932834.4813755,2421,6.795524597167969
1730932838.2446048,2441,6.204599380493164
1730932839.542472,2451,5.620644569396973
1730932840.7525425,2461,6.34423828125
1730932842.0803545,2471,6.14976167678833
1730932851.0402088,2521,5.839865684509277
1730932852.224925,2531,6.0246357917785645
1730932853.5164702,2541,6.548975467681885
1730932859.9923906,2581,6.00633430480957
1730932861.3762767,2591,6.052623748779297
1730932863.5634093,2601,5.0252580642700195
1730932866.462341,2621,6.427906036376953
1730932879.2466867,2701,5.027343273162842
1730932880.4755163,2711,5.912519931793213
1730932886.080346,2741,5.963793754577637
1730932889.3243732,2761,5.033486843109131
1730932892.4617255,2781,5.925348281860352
1730932895.8390846,2801,5.480058193206787
1730932898.847168,2821,5.797307968139648
1730932900.2771587,2831,4.70011568069458
1730932903.4486487,2851,5.127652168273926
1730932906.4399803,2871,6.010078430175781
1730932908.671934,2881,5.375083923339844
1730932911.509767,2901,5.032264709472656
1730932919.148807,2951,5.367732524871826
1730932921.4791996,2961,4.955510139465332
1730932922.8246965,2971,4.068857669830322
1730932925.8380075,2981,3.9287471771240234
1730932938.3031,3061,4.266913414001465
1730932940.7444372,3081,4.0451860427856445
1730932942.0062535,3091,4.048513412475586
1730932946.9239783,3121,4.5351080894470215
1730932953.062916,3161,5.200486660003662
1730932956.7554348,3181,4.353513240814209
1730932957.9319975,3191,3.5381245613098145
1730932962.790713,3221,3.931919574737549
1730932965.5020745,3241,3.637805223464966
1730932973.6251361,3291,3.268594741821289
1730932975.4435918,3301,4.32124137878418
1730932977.2865713,3311,4.718250274658203
1730932978.477931,3321,3.6193277835845947
1730932986.58328,3371,3.626934766769409
1730932988.7284179,3381,3.016939163208008
1730932991.4811416,3401,3.8746819496154785
1730932996.2554176,3431,3.041609287261963
1730932997.6094053,3441,3.30129337310791
1730932998.9952614,3451,3.7965846061706543
1730933001.3627605,3461,3.5882649421691895
1730933007.7926989,3501,3.3775899410247803
1730933010.41594,3521,3.3941166400909424
1730933011.737872,3531,3.5337979793548584
1730933014.0086765,3541,3.055790662765503
1730933020.4091864,3581,3.3902652263641357
1730933026.4701736,3621,3.0112481117248535
1730933027.8550456,3631,3.5579440593719482
1730933029.427288,3641,3.7022674083709717
1730933030.7688859,3651,3.2776715755462646
1730933033.1551733,3661,2.9543230533599854
